Game_IDno,Batsman_Hand,Batsman_Name,Batsman_Runs,Batsman_Shot,Batsman_Team,Boundary,Bowler_Hand,Bowler_Name,Bowler_Type,Bowler_Length,Bowler_Line,Bowler_Wckt,Bowler_Team,Bye,Dismissal_Type,Batsman_Dismissed,Field_Position,Fielder_Name,FreeHit,Innings,LegBye,NoBall,NonStriker_Name,OverNum,BallNum,BallNumLgl,PPlay,Wide
39192,Right,Brendon McCullum,0,Drive,Heat,0,Right,Brett Lee,Fast Seam,Half Volley,Outside Off,Over,Sixers,0,Not Out,,Cover,Moises Henriques,0,1,0,0,Matthew Hayden,0,1,1,1,0
39192,Right,Brendon McCullum,0,Steer,Heat,0,Right,Brett Lee,Fast Seam,Back of a Length,Outside Off,Over,Sixers,0,Not Out,,Point,Moises Henriques,0,1,0,0,Matthew Hayden,0,2,2,1,0
39192,Right,Brendon McCullum,4,Slog,Heat,1,Right,Brett Lee,Fast Seam,Back of a Length,Outside Off,Over,Sixers,0,Not Out,,Long Off,,0,1,0,0,Matthew Hayden,0,3,3,1,0
39192,Right,Brendon McCullum,0,Forward Defensive,Heat,0,Right,Brett Lee,Fast Seam,Half Volley,Outside Off,Over,Sixers,0,Not Out,,Cover,Moises Henriques,0,1,0,0,Matthew Hayden,0,4,4,1,0
39192,Right,Brendon McCullum,0,Pull,Heat,0,Right,Brett Lee,Fast Seam,Short,Outside Off,Over,Sixers,0,Not Out,,Square Leg,Nic Maddinson,0,1,0,0,Matthew Hayden,0,5,5,1,0
39192,Right,Brendon McCullum,0,Backward Defensive,Heat,0,Right,Brett Lee,Fast Seam,Back of a Length,Outside Off,Over,Sixers,0,Not Out,,Short Extra Cover,Moises Henriques,0,1,0,0,Matthew Hayden,0,6,6,1,0
39192,Left,Matthew Hayden,0,Slog,Heat,0,Left,Mitchell Starc,Fast Seam,Back of a Length,Outside Off,Over,Sixers,0,Not Out,,Slips,Dwayne Bravo,0,1,0,0,Brendon McCullum,1,1,1,1,0
39192,Left,Matthew Hayden,0,Drive,Heat,0,Left,Mitchell Starc,Fast Seam,Length Ball,Outside Off,Over,Sixers,0,Not Out,,Wicketkeeper,Brad Haddin,0,1,0,0,Brendon McCullum,1,2,2,1,0
39192,Left,Matthew Hayden,4,Pull,Heat,1,Left,Mitchell Starc,Fast Seam,Back of a Length,Outside Off,Over,Sixers,0,Not Out,,Deep Mid Wicket,,0,1,0,0,Brendon McCullum,1,3,3,1,0
39192,Left,Matthew Hayden,4,Drive,Heat,1,Left,Mitchell Starc,Fast Seam,Length Ball,Outside Off,Over,Sixers,0,Not Out,,Long On,,0,1,0,0,Brendon McCullum,1,4,4,1,0
