League,Season,Final,Game_IDno,T1,W1,R1,O1,M1,T2,W2,R2,O2,M2,Win,Toss,Home,PotM,RRD,DLSTrgt,DLSInfo
BBL,1,,39192,Heat,8,139,20,20,Sixers,3,140,18.4,20,2,1,2,Brad Haddin,0.093,,
BBL,1,,39193,Stars,7,153,20,20,Thunder,4,154,19,20,2,2,1,David Warner,0.071,,
BBL,1,,39194,Strikers,5,189,20,20,Renegades,10,122,17.5,20,1,2,1,Michael Klinger,0.354,,
BBL,1,,39195,Hurricanes,10,140,19.3,20,Scorchers,10,109,19.5,20,1,1,2,Ben Hilfenhaus,0.221,,
BBL,1,,39196,Stars,7,177,20,20,Heat,7,169,20,20,1,1,1,Rob Quiney,0.045,,
BBL,1,,39197,Hurricanes,3,169,20,20,Sixers,9,127,20,20,1,1,1,Travis Birt,0.249,,
BBL,1,,39198,Renegades,3,188,20,20,Scorchers,2,192,19.2,20,2,1,1,Shaun Marsh,0.057,,
BBL,1,,39199,Strikers,8,155,20,20,Thunder,4,156,18.3,20,2,1,1,Chris Gayle,0.103,,
BBL,1,,39200,Sixers,9,166,20,20,Stars,8,164,20,20,1,1,1,Dwayne Bravo,0.012,,
BBL,1,,39201,Hurricanes,4,171,20,20,Strikers,8,157,20,20,1,1,2,Xavier Doherty,0.082,,
BBL,1,,39202,Scorchers,8,162,20,20,Heat,6,152,20,20,1,1,1,Marcus North,0.062,,
BBL,1,,39203,Renegades,8,140,20,20,Thunder,7,134,20,20,1,1,2,Shahid Afridi,0.043,,
BBL,1,,39204,Thunder,8,138,20,20,Hurricanes,5,139,18.4,20,2,1,2,Rana Naved,0.094,,
BBL,1,,39205,Sixers,6,161,20,20,Renegades,2,164,17.4,20,2,1,2,Andrew McDonald,0.159,,
BBL,1,,39206,Strikers,4,166,20,20,Heat,10,135,18,20,1,1,2,Tom Cooper,0.187,,
BBL,1,,39207,Scorchers,10,136,20,20,Stars,5,128,20,20,1,1,2,Herschelle Gibbs,0.059,,
BBL,1,,39208,Heat,4,201,20,20,Hurricanes,4,198,20,20,1,1,1,Matthew Hayden,0.015,,
BBL,1,,39209,Stars,5,167,20,20,Renegades,3,58,8.1,8.1,1,1,0,David Hussey,0.159,70,2nd innings terminated
BBL,1,,39210,Sixers,7,117,16,16,Thunder,4,29,5.3,5.3,1,1,0,Mitchell Starc,0.37,47,"4 overs/side lost at 10/0 (1.4) of 1st innings, then 2nd innings terminated"
BBL,1,,39211,Scorchers,5,184,20,20,Strikers,10,142,19.3,20,1,1,1,Brad Hogg,0.228,,
BBL,1,,39212,Stars,3,203,20,20,Hurricanes,9,184,20,20,1,1,2,Luke Wright,0.094,,
BBL,1,,39213,Sixers,8,151,20,20,Strikers,10,87,18.4,20,1,1,2,Steve O'Keefe,0.424,,
BBL,1,,39214,Thunder,10,99,19.2,20,Scorchers,1,103,14.1,20,2,1,1,Nathan Coulter-Nile,0.388,,
BBL,1,,39215,Heat,7,168,20,20,Renegades,9,156,20,20,1,1,2,Daniel Vettori,0.071,,
BBL,1,,39216,Heat,4,195,20,20,Thunder,6,104,20,20,1,2,1,Daniel Christian,0.467,,
BBL,1,,39217,Renegades,4,173,20,20,Hurricanes,3,174,19.5,20,2,1,2,Owais Shah,0.017,,
BBL,1,,39218,Sixers,10,176,20,20,Scorchers,6,175,20,20,1,1,1,Mitchell Starc,0.006,,
BBL,1,,39219,Strikers,10,125,19.3,20,Stars,4,129,18.5,20,2,1,2,Clint McKay,0.109,,
BBL,1,SF,39220,Scorchers,3,174,20,20,Stars,8,163,20,20,1,1,1,Mitchell Marsh,0.063,,
BBL,1,SF,39221,Sixers,6,153,20,20,Hurricanes,7,146,20,20,1,1,2,Nic Maddinson,0.046,,
BBL,1,GF,39222,Scorchers,5,156,20,20,Sixers,3,158,18.5,20,2,1,1,Moises Henriques,0.089,,
BBL,2,,35522,Stars,5,167,20,20,Renegades,2,168,18.2,20,2,1,2,Aaron Finch,0.107,,
BBL,2,,35523,Thunder,5,143,20,20,Sixers,3,147,18.4,20,2,2,0,Brad Haddin,0.116,,
BBL,2,,35524,Heat,6,172,20,20,Hurricanes,2,175,19,20,2,1,1,Travis Birt,0.074,,
BBL,2,,35525,Scorchers,6,162,20,20,Strikers,4,164,19.2,20,2,1,1,Phillip Hughes,0.055,,
BBL,2,,35526,Scorchers,10,69,15.2,20,Stars,0,29,2,5,2,2,1,Lasith Malinga,0.345,20,2nd innings shortened to 5 overs at 29/0 (2)
BBL,2,,35527,Strikers,8,185,20,20,Heat,7,186,20,20,2,2,1,Luke Pomersbach,0.005,,
BBL,2,,35528,Thunder,7,116,20,20,Renegades,5,117,18.2,20,2,2,1,Aaron O'Brien,0.111,,
BBL,2,,35529,Hurricanes,8,134,20,20,Stars,6,135,19.1,20,2,2,2,Clint McKay,0.059,,
BBL,2,,35530,Sixers,9,113,20,20,Scorchers,3,114,19.2,20,2,2,1,Michael Beer,0.053,,
BBL,2,,35531,Heat,4,109,13.1,13.1,Scorchers,1,51,4.2,5,2,2,1,Nathan Coulter-Nile,0.157,51,"1st innings terminated, 2nd innings shortened to 5 overs at start"
BBL,2,,35532,Hurricanes,9,102,20,20,Renegades,3,103,13.2,20,2,2,2,Marlon Samuels,0.388,,
BBL,2,,35533,Strikers,6,177,20,20,Thunder,10,126,18.4,20,1,2,2,Kane Richardson,0.288,,
BBL,2,,35534,Stars,6,177,20,20,Sixers,5,156,20,20,1,2,1,Glenn Maxwell,0.119,,
BBL,2,,35535,Heat,7,133,20,20,Renegades,4,137,19.1,20,2,1,2,Ben Cutting,0.08,,
BBL,2,,35536,Hurricanes,4,177,20,20,Thunder,9,147,20,20,1,2,1,Ricky Ponting,0.169,,
BBL,2,,35537,Sixers,6,135,20,20,Strikers,1,136,15.5,20,2,1,2,Tim Ludeman,0.272,,
BBL,2,,35538,Sixers,8,154,20,20,Hurricanes,3,158,19.5,20,2,2,1,Ricky Ponting,0.038,,
BBL,2,,35539,Stars,8,175,20,20,Strikers,4,167,20,20,1,1,2,Brad Hodge,0.046,,
BBL,2,,35540,Thunder,10,126,20,20,Heat,5,127,16.4,20,2,1,1,Daniel Christian,0.205,,
BBL,2,,35541,Scorchers,3,187,20,20,Renegades,10,136,19.1,20,1,2,1,Shaun Marsh,0.273,,
BBL,2,,35542,Thunder,6,132,20,20,Sixers,6,136,19,20,2,1,0,Daniel Hughes,0.096,,
BBL,2,,35543,Scorchers,8,152,20,20,Hurricanes,4,153,18.3,20,2,1,2,Tim Paine,0.105,,
BBL,2,,35544,Renegades,6,155,20,20,Strikers,10,107,18.3,20,1,2,1,Muttiah Muralitharan,0.31,,
BBL,2,,35545,Heat,5,171,20,20,Stars,9,147,20,20,1,2,1,James Hopes,0.14,,
BBL,2,,35546,Thunder,9,113,20,20,Scorchers,1,117,13.2,20,2,1,2,Jason Behrendorff,0.427,,
BBL,2,,35547,Strikers,4,162,20,20,Hurricanes,8,124,20,20,1,1,2,Cameron Boyce,0.235,,
BBL,2,,35548,Stars,9,146,20,20,Renegades,1,147,18.5,20,2,1,0,Aaron Finch,0.082,,
BBL,2,,35549,Heat,9,127,20,20,Sixers,5,128,19,20,2,1,1,Michael Lumb,0.07,,
BBL,2,,35550,Stars,8,145,20,20,Thunder,10,132,19.4,20,1,1,1,Chris Gayle,0.09,,
BBL,2,,35551,Renegades,5,178,20,20,Sixers,10,149,20,20,1,1,2,Alex Hales,0.163,,
BBL,2,,35552,Scorchers,4,189,20,20,Strikers,10,91,18.3,20,1,1,2,Shaun Marsh,0.519,,
BBL,2,,35553,Hurricanes,3,150,20,20,Heat,2,152,14.1,20,2,1,1,Luke Pomersbach,0.362,,
BBL,2,SF,35554,Heat,3,183,20,20,Renegades,9,168,20,20,1,1,2,Luke Pomersbach,0.082,,
