scenario,model,top1,top3,mrr,ndcg3,group_logloss,brier,ece,cal_slope,cal_intercept,entropy_mean,mass_dev_ind,,,,scenario,model,auc_roc,tp,fn,fp,tn,tpr,recall,sensitivity,fnr,fpr,tnr,prevalence,accuracy,f1,total_rows,total_matches
raw,L1,0.6564,0.9005,0.7856,0.8011,1.1054,0.023,0.0098,1.3456,0.497,1.4757,0.398,,,,raw,L1,0.9618,277,145,145,8493,0.6564,0.6564,0.6564,0.3436,0.0168,0.9832,0.0466,0.968,0.6564,9060,422
scaled,L1,0.6825,0.9336,0.8142,0.8341,0.8846,0.0202,0.0074,1.3583,0.3776,1.1683,0.3319,,,,scaled,L1,0.9769,288,134,134,8504,0.6825,0.6825,0.6825,0.3175,0.0155,0.9845,0.0466,0.9704,0.6825,9060,422
zscore,L1,0.6588,0.9336,0.7964,0.8223,0.9561,0.0217,0.005,1.2164,0.2259,1.151,0.2643,,,,zscore,L1,0.9746,278,144,144,8494,0.6588,0.6588,0.6588,0.3412,0.0167,0.9833,0.0466,0.9682,0.6588,9060,422
raw,L2,0.6706,0.9384,0.8076,0.8312,0.8832,0.0202,0.0072,1.3711,0.3937,1.1787,0.3325,,,,raw,L2,0.977,283,139,139,8499,0.6706,0.6706,0.6706,0.3294,0.0161,0.9839,0.0466,0.9693,0.6706,9060,422
scaled,L2,0.6896,0.9336,0.8175,0.8364,0.8856,0.0203,0.007,1.3624,0.3825,1.1713,0.3333,,,,scaled,L2,0.9768,291,131,131,8507,0.6896,0.6896,0.6896,0.3104,0.0152,0.9848,0.0466,0.9711,0.6896,9060,422
zscore,L2,0.6564,0.936,0.7955,0.8226,0.9577,0.0218,0.0048,1.2125,0.2225,1.1521,0.2651,,,,zscore,L2,0.9745,277,145,145,8493,0.6564,0.6564,0.6564,0.3436,0.0168,0.9832,0.0466,0.968,0.6564,9060,422
raw,EN,0.6564,0.9005,0.7848,0.8005,1.1049,0.023,0.01,1.3444,0.4948,1.474,0.3976,,,,raw,EN,0.9618,277,145,145,8493,0.6564,0.6564,0.6564,0.3436,0.0168,0.9832,0.0466,0.968,0.6564,9060,422
scaled,EN,0.6896,0.936,0.8176,0.8376,0.8853,0.0203,0.007,1.3615,0.3815,1.171,0.3327,,,,scaled,EN,0.9769,291,131,131,8507,0.6896,0.6896,0.6896,0.3104,0.0152,0.9848,0.0466,0.9711,0.6896,9060,422
zscore,EN,0.654,0.936,0.7946,0.822,0.9565,0.0218,0.0048,1.2152,0.2249,1.1519,0.2647,,,,zscore,EN,0.9746,276,146,146,8492,0.654,0.654,0.654,0.346,0.0169,0.9831,0.0466,0.9678,0.654,9060,422
raw,logit,0.6706,0.9384,0.8076,0.8312,0.8832,0.0202,0.0072,1.3711,0.3937,1.1787,0.3325,,,,raw,logit,0.977,283,139,139,8499,0.6706,0.6706,0.6706,0.3294,0.0161,0.9839,0.0466,0.9693,0.6706,9060,422
scaled,logit,0.6896,0.9336,0.8175,0.8364,0.8856,0.0203,0.007,1.3624,0.3825,1.1713,0.3333,,,,scaled,logit,0.9768,291,131,131,8507,0.6896,0.6896,0.6896,0.3104,0.0152,0.9848,0.0466,0.9711,0.6896,9060,422
zscore,logit,0.6564,0.936,0.7955,0.8226,0.9577,0.0218,0.0048,1.2125,0.2225,1.1521,0.2651,,,,zscore,logit,0.9745,277,145,145,8493,0.6564,0.6564,0.6564,0.3436,0.0168,0.9832,0.0466,0.968,0.6564,9060,422
raw,probit,0.6682,0.9431,0.8055,0.8314,0.8644,0.0202,0.0043,1.299,0.2736,1.0507,0.3269,,,,raw,probit,0.9771,282,140,140,8498,0.6682,0.6682,0.6682,0.3318,0.0162,0.9838,0.0466,0.9691,0.6682,9060,422
scaled,probit,0.6682,0.9431,0.8055,0.8314,0.8644,0.0202,0.0043,1.299,0.2736,1.0507,0.3269,,,,scaled,probit,0.9771,282,140,140,8498,0.6682,0.6682,0.6682,0.3318,0.0162,0.9838,0.0466,0.9691,0.6682,9060,422
zscore,probit,0.6517,0.9408,0.7952,0.8244,0.9536,0.022,0.0034,1.1515,0.1406,1.0588,0.2522,,,,zscore,probit,0.9747,275,147,147,8491,0.6517,0.6517,0.6517,0.3483,0.017,0.983,0.0466,0.9675,0.6517,9060,422
raw,cauchit,0.6114,0.8744,0.7526,0.7665,1.3448,0.0256,0.0163,1.3233,0.6211,1.8158,0.588,,,,raw,cauchit,0.9517,258,164,164,8474,0.6114,0.6114,0.6114,0.3886,0.019,0.981,0.0466,0.9638,0.6114,9060,422
scaled,cauchit,0.5237,0.737,0.6498,0.6514,3.6033,0.0276,0.0126,0.1656,-1.5783,0.8041,0.6588,,,,scaled,cauchit,0.8364,226,196,196,8442,0.5355,0.5355,0.5355,0.4645,0.0227,0.9773,0.0466,0.9567,0.5355,9060,422
zscore,cauchit,0.6209,0.8981,0.7664,0.7868,1.2505,0.024,0.0155,1.323,0.6264,1.7691,0.4234,,,,zscore,cauchit,0.9621,262,160,160,8478,0.6209,0.6209,0.6209,0.3791,0.0185,0.9815,0.0466,0.9647,0.6209,9060,422
raw,loglog,0.6825,0.9455,0.8133,0.8382,0.8735,0.0204,0.0027,1.2369,0.1878,0.9756,0.3115,,,,raw,loglog,0.9774,288,134,134,8504,0.6825,0.6825,0.6825,0.3175,0.0155,0.9845,0.0466,0.9704,0.6825,9060,422
scaled,loglog,0.5758,0.8578,0.7299,0.741,1.3084,0.024,0.0042,0.8545,-0.1531,1.1088,1.0987,,,,scaled,loglog,0.9377,243,179,179,8459,0.5758,0.5758,0.5758,0.4242,0.0207,0.9793,0.0466,0.9605,0.5758,9060,422
zscore,loglog,0.6517,0.936,0.7954,0.8224,0.9767,0.0222,0.0028,1.0869,0.0716,0.9996,0.2394,,,,zscore,loglog,0.9751,275,147,147,8491,0.6517,0.6517,0.6517,0.3483,0.017,0.983,0.0466,0.9675,0.6517,9060,422
raw,cloglog,0.6588,0.9313,0.7987,0.8214,0.9294,0.0207,0.0107,1.4216,0.514,1.2917,0.3379,,,,raw,cloglog,0.9758,278,144,144,8494,0.6588,0.6588,0.6588,0.3412,0.0167,0.9833,0.0466,0.9682,0.6588,9060,422
scaled,cloglog,0.5569,0.7393,0.6673,0.6636,2.1148,0.0263,0.0046,0.4398,-1.3195,1.5105,0.4497,,,,scaled,cloglog,0.7638,235,187,187,8451,0.5569,0.5569,0.5569,0.4431,0.0216,0.9784,0.0466,0.9587,0.5569,9060,422
zscore,cloglog,0.4147,0.5355,0.5133,0.486,3.0007,0.0322,0.0059,0.1991,-2.2257,1.8021,0.5746,,,,zscore,cloglog,0.6588,173,249,249,8389,0.41,0.41,0.41,0.59,0.0288,0.9712,0.0466,0.945,0.41,9060,422
raw,GAM,0.673,0.9502,0.8093,0.838,0.9027,0.0211,0.0024,1.0962,0.0892,0.9818,0.3703,,,,raw,GAM,0.974,284,138,138,8500,0.673,0.673,0.673,0.327,0.016,0.984,0.0466,0.9695,0.673,9060,422
scaled,GAM,0.673,0.9502,0.8093,0.838,0.9027,0.0211,0.0024,1.0962,0.0892,0.9818,0.3703,,,,scaled,GAM,0.974,284,138,138,8500,0.673,0.673,0.673,0.327,0.016,0.984,0.0466,0.9695,0.673,9060,422
zscore,GAM,0.6659,0.9123,0.7955,0.8121,0.9846,0.0215,0.0024,0.9266,-0.0691,0.8833,0.3077,,,,zscore,GAM,0.9721,281,141,141,8497,0.6659,0.6659,0.6659,0.3341,0.0163,0.9837,0.0466,0.9689,0.6659,9060,422
