feature,coef
num__Team_Won,3.7271428245602674
num__Overs_Bowled,1.4777615443018497
num__Batter,0.7512460628659532
num__Wickets_Total,0.6417248122247037
num__All_Rounder,-0.4362617365886351
num__Wkts_Bowled,0.42896938642746274
num__NoBalls_Thrown,-0.42197510962874796
num__Batted_Inns2,0.22818820390467615
num__Team_Batted_First,0.2201075162064618
num__Bowled_Catch,0.21275542579823295
num__Economy_Rate,0.20907719976186354
num__RunOuts,0.17419208630526498
num__Stumpings,0.1737064457535186
num__LegByes_Thrown,0.1648088622707985
num__Catches_Fielder,0.1634345514566172
num__Runs_Scored,0.16091024834545528
num__Runs_Conceded,-0.1521903735117463
num__Balls_Faced,-0.11448377232302291
num__Wicket_Impact,0.1051484638866555
num__Batted_Inns1,0.08679612237021982
num__Legal_Deliveries,-0.06948546563847231
num__Run_Share,0.0629291587808524
num__Fours_Hit,-0.05845963226763648
num__Team_Home,-0.04460257637044487
num__Team_Total_Extras,0.04049944082628393
num__Sixes_Hit,-0.03315271649222224
num__Bowler,-0.02889713202481778
num__Dot_Balls,0.01603563427576532
num__Total_Returns,0.01500781457813571
num__Team_Total_Runs,-0.013785741267761187
num__Strike_Rate,-0.004899275161763623
num__NonStriker_Runs,-0.00022188535563660595
