feature,coef
num__Bowler,539678947.7047514
num__Batted_Inns2,269839472.4167631
num__Batter,269839472.2325133
num__All_Rounder,269839471.5921607
num__Batted_Inns1,269839471.40790004
num__Overs_Bowled,25.29734388999566
num__Team_Won,16.504477875655073
num__Legal_Deliveries,-3.861697377258035
num__NoBalls_Thrown,-3.392498460720452
num__Wickets_Total,2.3851888839909465
num__Wkts_Bowled,1.5315019310456757
num__Stumpings,1.1820845816720296
num__Catches_Fielder,0.910901946919945
num__Bowled_Catch,0.8536841147244781
num__LegByes_Thrown,0.6152314946821726
num__Runs_Scored,0.4787318330848611
num__RunOuts,0.45184180327102114
num__Economy_Rate,0.45145784668840516
num__Balls_Faced,-0.4406445948383184
num__Fours_Hit,-0.38487313859206335
num__Team_Home,-0.3715903911262307
num__Runs_Conceded,-0.349452277278225
num__Dot_Balls,0.3455755694279341
num__Sixes_Hit,-0.2255332566244759
num__Run_Share,0.18796588998082658
num__Wicket_Impact,0.13383683746969718
num__Team_Batted_First,-0.06764789394240867
num__Team_Total_Extras,0.036901147237843726
num__Team_Total_Runs,-0.027505900899258917
num__Strike_Rate,0.011258419758940812
num__NonStriker_Runs,-0.0013918883182012678
num__Total_Returns,0.0009154442522609826
