feature,coef
num__Bowler,19.40227127733963
num__Batter,10.858086731953446
num__Batted_Inns2,10.07459502108601
num__Batted_Inns1,9.916390111483334
num__All_Rounder,9.13289840061607
num__Overs_Bowled,4.025358743518524
num__Team_Won,3.3255036403929044
num__Wickets_Total,0.6556988473562282
num__Legal_Deliveries,-0.5115398276818772
num__Wkts_Bowled,0.3927696708703281
num__Team_Batted_First,0.2988060046417942
num__Bowled_Catch,0.2629291764859173
num__Economy_Rate,0.2300714852721366
num__LegByes_Thrown,0.1771910729636091
num__Stumpings,0.15967603189318824
num__Runs_Scored,0.1361927585522451
num__NoBalls_Thrown,-0.1359601820549894
num__Runs_Conceded,-0.1284366782236271
num__Sixes_Hit,-0.0989003439552939
num__Balls_Faced,-0.08879643346243749
num__Fours_Hit,-0.0757308671731724
num__Run_Share,0.04326362762499227
num__Catches_Fielder,0.037801582930702494
num__Team_Total_Extras,0.03598450033939821
num__RunOuts,0.02994648233974853
num__Wicket_Impact,0.025872524196390936
num__Team_Home,0.016937527232696554
num__Total_Returns,0.01612014172170487
num__Team_Total_Runs,-0.013954451842453515
num__NonStriker_Runs,0.007170721479114995
num__Strike_Rate,-0.004160445802202771
num__Dot_Balls,-0.0010700738011848142
