feature,coef
num__Overs_Bowled,2.1397801093719258
num__Team_Won,2.010974783410509
num__Batter,0.81395471665733
num__Batted_Inns2,0.5175481515831832
num__Bowler,0.45072031867896634
num__Batted_Inns1,0.38478697181269006
num__Legal_Deliveries,-0.25445442781310895
num__RunOuts,0.2232908074633936
num__Wickets_Total,0.19560442756046642
num__Wkts_Bowled,0.16111667874375657
num__Team_Batted_First,0.14973056375986235
num__Economy_Rate,0.1301760836874941
num__Catches_Fielder,0.10870398658131458
num__Wicket_Impact,0.09456675833822478
num__All_Rounder,0.08838040673853592
num__Runs_Conceded,-0.0843246952103297
num__Runs_Scored,0.08059885921540604
num__NoBalls_Thrown,-0.08023464782394085
num__LegByes_Thrown,0.06713308667852129
num__Balls_Faced,-0.06451746649143432
num__Run_Share,0.03862278172325391
num__Team_Home,-0.03577446950020326
num__Fours_Hit,-0.03490567815891346
num__Bowled_Catch,0.03448774881671007
num__Stumpings,0.033115969211691375
num__Team_Total_Extras,0.016610090684604693
num__Total_Returns,0.007558834988134288
num__Dot_Balls,0.0062592438920140055
num__Team_Total_Runs,-0.005728779511307068
num__Strike_Rate,-0.003685627173407651
num__NonStriker_Runs,-0.0020188015978420838
num__Sixes_Hit,-0.0008150009072102546
