feature,coef
num__Bowler,2.883797804669164
num__Overs_Bowled,2.4841389060929373
num__Team_Won,2.1981410422624483
num__Batter,2.120323347898674
num__Batted_Inns2,1.7295583477798369
num__Batted_Inns1,1.6009092214972456
num__All_Rounder,1.2101442213783977
num__Wickets_Total,0.3120650080545968
num__Legal_Deliveries,-0.3026251390391712
num__Wkts_Bowled,0.21819687986989622
num__Team_Batted_First,0.17675952603027698
num__RunOuts,0.14627153390252576
num__Economy_Rate,0.14350925519791896
num__NoBalls_Thrown,-0.11065935235795711
num__Catches_Fielder,0.09439249919766589
num__Bowled_Catch,0.09386812818470677
num__Runs_Scored,0.09131295050432531
num__Runs_Conceded,-0.0907350538790685
num__LegByes_Thrown,0.089600994652851
num__Stumpings,0.07489976170991261
num__Wicket_Impact,0.07089134957004241
num__Balls_Faced,-0.06635873590109168
num__Fours_Hit,-0.03968574250008945
num__Run_Share,0.03540666964937204
num__Team_Home,-0.028330793996795053
num__Sixes_Hit,-0.024596316473977635
num__Team_Total_Extras,0.021429226443327242
num__Total_Returns,0.008343752609469162
num__Team_Total_Runs,-0.007634985656098379
num__Dot_Balls,0.005475072538348773
num__Strike_Rate,-0.0034391861636225178
num__NonStriker_Runs,-0.000342014236884037
