feature,importance
num__Runs_Scored,0.1261917380753988
num__Run_Share,0.11009403412558905
num__Team_Won,0.09381385675092492
num__Balls_Faced,0.07489204980220544
num__Wickets_Total,0.07099351982490996
num__Wicket_Impact,0.06851871776980402
num__Fours_Hit,0.055447834600514716
num__NonStriker_Runs,0.04642579514883725
num__Economy_Rate,0.0398630719479908
num__Strike_Rate,0.03661759216292718
num__Runs_Conceded,0.03206556930783236
num__Dot_Balls,0.031178336571393548
num__Sixes_Hit,0.031123782423799637
num__Wkts_Bowled,0.02891782300239386
num__Bowled_Catch,0.026965457850874338
num__Team_Total_Runs,0.024142194604698467
num__Overs_Bowled,0.018376682337305782
num__Legal_Deliveries,0.017956155016430404
num__Team_Total_Extras,0.016883135640596292
num__Total_Returns,0.016503059790016275
num__Catches_Fielder,0.006666516183439947
num__LegByes_Thrown,0.004439173452286267
num__Team_Home,0.003618276780187752
num__Team_Batted_First,0.003128872811384733
num__RunOuts,0.0029305057278829253
num__Batter,0.002584591642636186
num__Batted_Inns1,0.0022740791643499096
num__Batted_Inns2,0.002186011477612293
num__Bowler,0.001903157255253887
num__All_Rounder,0.0017792405814390532
num__NoBalls_Thrown,0.0011578178415342646
num__Stumpings,0.00036135032754956037
