feature,perm_importance_mean,perm_importance_std
num__Run_Share,0.027483443708609313,0.0007288112149765665
num__Runs_Scored,0.025783664459161183,0.0006843267108167993
num__Team_Won,0.025706401766004472,0.0012847701084015303
num__Wickets_Total,0.009381898454746174,0.0003855242648250043
num__Wicket_Impact,0.00898454746136872,0.0003010636136199791
num__Strike_Rate,0.008940397350993435,0.0008230177431482363
num__Balls_Faced,0.005938189845474629,0.0003654071822791788
num__Economy_Rate,0.004735099337748405,0.0004201515741870628
num__Team_Total_Runs,0.003907284768211949,0.0005610713036264276
num__Runs_Conceded,0.0038631346578366864,0.0004811146736799809
num__Overs_Bowled,0.0035430463576159197,0.0002232201811937782
num__Legal_Deliveries,0.003278145695364265,0.00032387198126095237
num__Total_Returns,0.0030905077262693647,0.0003823511716487639
num__Team_Total_Extras,0.002814569536423861,0.00032835485166982136
num__Fours_Hit,0.002770419426048598,0.00030207355813254374
num__Bowled_Catch,0.002538631346578402,0.00022075055187636416
num__Wkts_Bowled,0.002362030905077306,0.00021629048501394944
num__Sixes_Hit,0.0019094922737307395,0.00031625935500872196
num__NonStriker_Runs,0.0013576158940397764,0.0004986471080828382
num__Dot_Balls,0.0013355408388521339,0.00024407664886860744
num__Catches_Fielder,0.0009713024282561045,0.00016221786376045594
num__Team_Home,0.0008830022075055454,0.00024680662003310057
num__LegByes_Thrown,0.0006732891832230026,0.0002440766488685959
num__Batted_Inns2,0.00044150110375281717,9.872264801324369e-05
num__Team_Batted_First,0.00044150110375281717,0.0001209100568444122
num__Batted_Inns1,0.00037527593818990066,0.00014972030867826667
num__Batter,0.0003752759381898896,8.830022075057287e-05
num__All_Rounder,0.0003090507726269842,0.0001378586754613333
num__RunOuts,0.00026490066225168805,8.830022075052568e-05
num__Bowler,0.00016556291390734668,5.518763796907855e-05
num__NoBalls_Thrown,3.3112582781469334e-05,7.067466045733686e-05
num__Stumpings,0.0,0.0
