model,top1,top3,mrr,ndcg3,group_logloss,brier,ece,cal_slope,cal_intercept,entropy_mean,mass_dev_ind,auc_roc,tp,fn,fp,tn,tpr,recall,sensitivity,fnr,fpr,tnr,prevalence,accuracy,f1,total_rows,total_matches
M4-RF(1200|leaf=2|mtry=sqrt),0.6777251184834123,0.9502369668246445,0.8107895987635324,0.839422369177393,0.835979161154107,0.01953384834708881,0.004505083460944799,1.3381221639154512,0.28475841551595,1.0268442126557156,0.31663782481194613,0.9779626065363121,283,139,139,8499,0.6706161137440758,0.6706161137440758,0.6706161137440758,0.3293838862559242,0.016091687890715443,0.9839083121092845,0.04657836644591611,0.9693156732891832,0.6706161137440758,9060,422
M2-Binomial(probit),0.6682464454976303,0.943127962085308,0.8054530580004511,0.8314387903943868,0.8644103181627139,0.020193721144991298,0.004314384831036969,1.2990322281875546,0.27355015544861266,1.0507116952038273,0.32688107117791043,0.9770601958281988,282,140,140,8498,0.6682464454976303,0.6682464454976303,0.6682464454976303,0.33175355450236965,0.01620745542949757,0.9837925445705025,0.04657836644591611,0.9690949227373068,0.6682464454976303,9060,422
M2-Binomial(loglog),0.6824644549763034,0.9454976303317536,0.8133322049198823,0.83818132885918,0.8735290216549829,0.02043847894745755,0.0027107930668625185,1.2369425445056372,0.18779621336283048,0.9755871900266685,0.31146121373027985,0.9773523579817602,288,134,134,8504,0.6824644549763034,0.6824644549763034,0.6824644549763034,0.3175355450236967,0.015512850196804815,0.9844871498031952,0.04657836644591611,0.9704194260485651,0.6824644549763034,9060,422
M1-L2,0.6706161137440758,0.9383886255924171,0.8075631911532385,0.8311847365098237,0.883192225204943,0.020205227316715858,0.007187852598075163,1.3711388066611092,0.39368997359808966,1.1787315565767167,0.3325012120944599,0.9769575961611264,283,139,139,8499,0.6706161137440758,0.6706161137440758,0.6706161137440758,0.3293838862559242,0.016091687890715443,0.9839083121092845,0.04657836644591611,0.9693156732891832,0.6706161137440758,9060,422
M2-CondGLM(logit),0.6706161137440758,0.9383886255924171,0.8075631911532385,0.8311847365098237,0.883192225204943,0.020205227316715858,0.007187852598075163,1.3711388066611092,0.39368997359808966,1.1787315565767167,0.3325012120944599,0.9769575961611264,283,139,139,8499,0.6706161137440758,0.6706161137440758,0.6706161137440758,0.3293838862559242,0.016091687890715443,0.9839083121092845,0.04657836644591611,0.9693156732891832,0.6706161137440758,9060,422
M3-GAM,0.6729857819905213,0.9502369668246445,0.8092614533965242,0.837983481169607,0.9027315288470259,0.021088230711329987,0.0023568421319634827,1.0961881686738488,0.08919153449518093,0.9818367815274386,0.37034409013115394,0.9740082672287886,284,138,138,8500,0.6729857819905213,0.6729857819905213,0.6729857819905213,0.32701421800947866,0.015975920351933317,0.9840240796480667,0.04657836644591611,0.9695364238410596,0.6729857819905213,9060,422
M2-Binomial(cloglog),0.6587677725118484,0.9312796208530806,0.7986600090273073,0.8213958034444885,0.9293909451779897,0.020729261250822348,0.01067440703046425,1.4215843171933966,0.5139902391413295,1.2917025277107543,0.33785637485580045,0.975832017460598,278,144,144,8494,0.6587677725118484,0.6587677725118484,0.6587677725118484,0.3412322274881517,0.016670525584626072,0.9833294744153739,0.04657836644591611,0.9682119205298013,0.6587677725118484,9060,422
M1-EN,0.6563981042654028,0.9004739336492891,0.7847910294488214,0.8004644846056249,1.1048752239041248,0.022981020566188108,0.01001652451894856,1.344424354152914,0.494791174635813,1.473971067340119,0.3975584924499138,0.9618271629052274,277,145,145,8493,0.6563981042654028,0.6563981042654028,0.6563981042654028,0.34360189573459715,0.016786293123408198,0.9832137068765918,0.04657836644591611,0.9679911699779249,0.6563981042654028,9060,422
M1-L1,0.6563981042654028,0.9004739336492891,0.7855961090453704,0.8010850047647313,1.1053948052598608,0.022982094330602117,0.009838244297848985,1.3456368530311196,0.4970138409091102,1.4757160934371905,0.3980042928124128,0.9617799780316008,277,145,145,8493,0.6563981042654028,0.6563981042654028,0.6563981042654028,0.34360189573459715,0.016786293123408198,0.9832137068765918,0.04657836644591611,0.9679911699779249,0.6563981042654028,9060,422
M2-Binomial(cauchit),0.6113744075829384,0.8744075829383886,0.7525671669036599,0.7664707613067083,1.3448084218265521,0.025582496260814425,0.016300089673219796,1.32326183361622,0.6210698801140955,1.8157639168007889,0.5879742107377135,0.9517271309731385,258,164,164,8474,0.6113744075829384,0.6113744075829384,0.6113744075829384,0.3886255924170616,0.01898587636026858,0.9810141236397314,0.04657836644591611,0.9637969094922737,0.6113744075829384,9060,422
