model,K,topk
M1-L1,1,0.6563981042654028
M1-L1,2,0.8293838862559242
M1-L1,3,0.9004739336492891
M1-L1,4,0.9312796208530806
M1-L1,5,0.966824644549763
M1-L2,1,0.6706161137440758
M1-L2,2,0.8744075829383886
M1-L2,3,0.9383886255924171
M1-L2,4,0.9786729857819905
M1-L2,5,0.990521327014218
M1-EN,1,0.6563981042654028
M1-EN,2,0.8246445497630331
M1-EN,3,0.9004739336492891
M1-EN,4,0.9312796208530806
M1-EN,5,0.966824644549763
M2-CondGLM(logit),1,0.6706161137440758
M2-CondGLM(logit),2,0.8744075829383886
M2-CondGLM(logit),3,0.9383886255924171
M2-CondGLM(logit),4,0.9786729857819905
M2-CondGLM(logit),5,0.990521327014218
M2-Binomial(probit),1,0.6682464454976303
M2-Binomial(probit),2,0.8649289099526066
M2-Binomial(probit),3,0.943127962085308
M2-Binomial(probit),4,0.981042654028436
M2-Binomial(probit),5,0.990521327014218
M2-Binomial(cloglog),1,0.6587677725118484
M2-Binomial(cloglog),2,0.8601895734597157
M2-Binomial(cloglog),3,0.9312796208530806
M2-Binomial(cloglog),4,0.9739336492890995
M2-Binomial(cloglog),5,0.9928909952606635
M2-Binomial(cauchit),1,0.6113744075829384
M2-Binomial(cauchit),2,0.7914691943127962
M2-Binomial(cauchit),3,0.8744075829383886
M2-Binomial(cauchit),4,0.9170616113744076
M2-Binomial(cauchit),5,0.9502369668246445
M2-Binomial(loglog),1,0.6824644549763034
M2-Binomial(loglog),2,0.8672985781990521
M2-Binomial(loglog),3,0.9454976303317536
M2-Binomial(loglog),4,0.981042654028436
M2-Binomial(loglog),5,0.9928909952606635
M3-GAM,1,0.6729857819905213
M3-GAM,2,0.8744075829383886
M3-GAM,3,0.9502369668246445
M3-GAM,4,0.9715639810426541
M3-GAM,5,0.990521327014218
M4-RF(1200|leaf=2|mtry=sqrt),1,0.6777251184834123
M4-RF(1200|leaf=2|mtry=sqrt),2,0.8720379146919431
M4-RF(1200|leaf=2|mtry=sqrt),3,0.9502369668246445
M4-RF(1200|leaf=2|mtry=sqrt),4,0.9715639810426541
M4-RF(1200|leaf=2|mtry=sqrt),5,0.9786729857819905
