feature,coef
num__Runs_Scored,2.034792690779888
num__Team_Won,1.9825223728674493
num__Runs_Conceded,-1.7013466931213261
num__Overs_Bowled,1.6058888902086867
num__Run_Share,0.7834839925820516
num__Balls_Faced,-0.7221598665816361
num__Economy_Rate,0.6087665199356352
num__Wickets_Total,0.5577077897451309
num__Team_Total_Runs,-0.42278993679629745
num__Batter,0.328199170010397
num__Strike_Rate,-0.25239231553441704
num__Wicket_Impact,0.23920787417013462
num__Wkts_Bowled,0.22059441146810566
num__Dot_Balls,-0.21561961976602237
num__Bowled_Catch,0.15529782533857242
num__Sixes_Hit,0.1532035153920931
num__Team_Total_Extras,0.14346916823592576
num__NoBalls_Thrown,-0.12668374769071808
num__LegByes_Thrown,0.10784413072196695
num__Bowler,0.10147931854756832
num__Fours_Hit,0.09527560041739395
num__Team_Batted_First,0.08911179895487897
num__Catches_Fielder,0.08881586141776024
num__Total_Returns,0.07777628237015201
num__All_Rounder,-0.07436492643684312
num__RunOuts,0.041101667757672176
num__Batted_Inns2,0.034218986915907974
num__Stumpings,0.031022545344731117
num__NonStriker_Runs,-0.027417093282101214
num__Team_Home,-0.024750437750573655
num__Batted_Inns1,0.0
num__Legal_Deliveries,0.0
