feature,coef
num__Bowler,5.971136841032577e+30
num__Batter,3.5270453460106325e+30
num__Batted_Inns1,3.411686282233086e+30
num__Overs_Bowled,3.40693920633485e+30
num__Batted_Inns2,3.2923613322585715e+30
num__All_Rounder,3.189948890276329e+30
num__Legal_Deliveries,-2.6476066727186036e+30
num__Runs_Scored,9.395995521089143e+29
num__Runs_Conceded,-8.722357783776134e+29
num__Team_Won,7.010358622923283e+29
num__Wicket_Impact,4.4859847815369974e+29
num__Economy_Rate,4.088825546592214e+29
num__Balls_Faced,-2.2419138919074313e+29
num__Run_Share,-1.7993541558392186e+29
num__Team_Total_Runs,-1.632678128917649e+29
num__Strike_Rate,-1.5169276958202401e+29
num__Fours_Hit,-1.11490751561232e+29
num__Bowled_Catch,-1.0244760458154626e+29
num__NonStriker_Runs,-7.563250914815247e+28
num__Wickets_Total,-7.425169931412977e+28
num__Dot_Balls,-5.093717083270303e+28
num__LegByes_Thrown,4.090053955915275e+28
num__Total_Returns,3.5468011632349577e+28
num__Team_Total_Extras,2.96619665841761e+28
num__Catches_Fielder,2.921470250833297e+28
num__Team_Batted_First,-2.8929809713405463e+28
num__NoBalls_Thrown,-2.107781683024372e+28
num__RunOuts,1.7315455936931746e+28
num__Team_Home,-1.651174320289468e+28
num__Sixes_Hit,1.2739198781515167e+28
num__Stumpings,6.892001781232572e+27
num__Wkts_Bowled,6.494831100987347e+27
