feature,coef
num__Bowler,54.839249468885946
num__Batter,31.645952923249826
num__Batted_Inns1,30.650064874594364
num__Batted_Inns2,30.222523593810628
num__All_Rounder,29.357317368015853
num__Overs_Bowled,7.1454058724895075
num__Legal_Deliveries,-5.53365184085167
num__Runs_Scored,2.4483472574891203
num__Runs_Conceded,-1.7124561777940226
num__Team_Won,1.6622084142429416
num__Balls_Faced,-1.2023092284277064
num__Economy_Rate,0.9645954941117778
num__Run_Share,0.5298367552616143
num__Team_Total_Runs,-0.43647299078738944
num__Wickets_Total,0.3889971569654453
num__Bowled_Catch,0.30275908084527997
num__Wkts_Bowled,0.2844799290207759
num__Strike_Rate,-0.2747177986873183
num__Team_Batted_First,0.1500957105144391
num__Team_Total_Extras,0.14748811510495985
num__Fours_Hit,-0.14382603555338153
num__LegByes_Thrown,0.1131691715634814
num__Total_Returns,0.08699793920851553
num__Sixes_Hit,-0.08676000982450277
num__Wicket_Impact,0.06269453891784536
num__NonStriker_Runs,0.05746429041951522
num__NoBalls_Thrown,-0.03133711933656648
num__Stumpings,0.030571929898540573
num__Catches_Fielder,0.022248525704422588
num__Team_Home,0.009145465771317737
num__RunOuts,0.007352460983396453
num__Dot_Balls,-0.006495301530844877
