feature,coef
num__Overs_Bowled,3.804868121268412
num__Legal_Deliveries,-2.757099626540814
num__Runs_Scored,1.4404358429932123
num__Runs_Conceded,-1.1277703837264643
num__Team_Won,1.0044964401474485
num__Balls_Faced,-0.8689870668647336
num__Economy_Rate,0.5496777381976026
num__Batter,0.4972766368441056
num__Run_Share,0.4755432454432494
num__Bowler,0.3787700219833554
num__Batted_Inns2,0.34830287531573095
num__Batted_Inns1,0.2905742634082221
num__Strike_Rate,-0.23695211772744867
num__Wicket_Impact,0.23209464624566162
num__Team_Total_Runs,-0.177560479969739
num__All_Rounder,0.1343052793264488
num__Wickets_Total,0.11005804334079007
num__Wkts_Bowled,0.10837288540356757
num__Team_Batted_First,0.07427638988356303
num__Team_Total_Extras,0.0680353135975502
num__Fours_Hit,-0.06655710761992645
num__Bowled_Catch,0.06517592057518853
num__Catches_Fielder,0.06367843295319972
num__RunOuts,0.05570622962804242
num__LegByes_Thrown,0.04293025090119655
num__Total_Returns,0.03938827544390276
num__Dot_Balls,0.031458189593314215
num__NoBalls_Thrown,-0.018335638708315432
num__Team_Home,-0.01776398117812697
num__NonStriker_Runs,-0.015810314484678744
num__Stumpings,0.006538514066441721
num__Sixes_Hit,0.00010475514376183381
