feature,coef
num__Overs_Bowled,4.4028572883844825
num__Legal_Deliveries,-3.2659712908167755
num__Runs_Scored,1.6411412357540365
num__Bowler,1.360283714222632
num__Runs_Conceded,-1.2117934278928897
num__Team_Won,1.0989952788270565
num__Batter,1.0971927537691075
num__Balls_Faced,-0.9002272935254324
num__Batted_Inns2,0.8866004846420685
num__Batted_Inns1,0.8393554966013278
num__All_Rounder,0.6221123599625065
num__Economy_Rate,0.6025748253355035
num__Run_Share,0.43581815296885706
num__Team_Total_Runs,-0.23847079009021088
num__Strike_Rate,-0.22605037137143194
num__Wickets_Total,0.18140427836567247
num__Wicket_Impact,0.17353969949549264
num__Wkts_Bowled,0.15250836726453879
num__Bowled_Catch,0.12661169672544634
num__Team_Batted_First,0.08837934558749823
num__Team_Total_Extras,0.08821526856988936
num__Fours_Hit,-0.07543214253945331
num__LegByes_Thrown,0.05711060782537619
num__Catches_Fielder,0.05483898059242769
num__Total_Returns,0.04495021076063238
num__RunOuts,0.03603549012520703
num__Dot_Balls,0.028026083599068552
num__NoBalls_Thrown,-0.025646466726131863
num__Sixes_Hit,-0.02166887695827554
num__Stumpings,0.014341384908245769
num__Team_Home,-0.014165215010898336
num__NonStriker_Runs,-0.0027326652972782944
