feature,perm_importance_mean,perm_importance_std
num__Run_Share,0.027494481236203138,0.0007278912624193244
num__Runs_Scored,0.025772626931567354,0.0006772582320813613
num__Team_Won,0.025706401766004472,0.0012847701084015303
num__Wickets_Total,0.009481236203090548,0.00040838852097130037
num__Strike_Rate,0.009105960264900691,0.0008336804680256814
num__Wicket_Impact,0.008995584988962534,0.00030528292904941507
num__Balls_Faced,0.005927152317880813,0.00037931214740484135
num__Economy_Rate,0.004713024282560751,0.00039811675048279045
num__Team_Total_Runs,0.003962472406181039,0.0005234395453147451
num__Runs_Conceded,0.0038631346578366864,0.0004811146736799809
num__Overs_Bowled,0.003520971302428277,0.0002176940720012813
num__Legal_Deliveries,0.0032781456953642762,0.0002837739543527995
num__Total_Returns,0.0030463576158940796,0.00038298789344145005
num__Team_Total_Extras,0.002814569536423861,0.00032835485166982136
num__Fours_Hit,0.0027593818984547715,0.0003042836369114903
num__Bowled_Catch,0.002649006622516603,0.00022075055187638083
num__Wkts_Bowled,0.0023730684326711436,0.0002275444605749151
num__Sixes_Hit,0.0018984547461369018,0.00030348183410304345
num__NonStriker_Runs,0.001335540838852145,0.0004897727976232547
num__Dot_Balls,0.0013134657836644914,0.00022861275030029889
num__Catches_Fielder,0.0009713024282561045,0.00016221786376045594
num__Team_Home,0.0008830022075055454,0.00024680662003310057
num__LegByes_Thrown,0.0006512141280353712,0.0002490179729067958
num__Batted_Inns2,0.0004966887417219068,0.00012340331001653787
num__Team_Batted_First,0.00044150110375281717,0.0001209100568444122
num__Batted_Inns1,0.00037527593818990066,0.00014972030867826667
num__Batter,0.0003752759381898896,8.830022075057287e-05
num__All_Rounder,0.0003090507726269842,0.0001378586754613333
num__RunOuts,0.00026490066225168805,8.830022075052568e-05
num__Bowler,0.00016556291390734668,5.518763796907855e-05
num__NoBalls_Thrown,3.3112582781469334e-05,7.067466045733686e-05
num__Stumpings,0.0,0.0
