model,K,topk
M1-L1,1,0.6824644549763034
M1-L1,2,0.8815165876777251
M1-L1,3,0.933649289099526
M1-L1,4,0.976303317535545
M1-L1,5,0.990521327014218
M1-L2,1,0.6895734597156398
M1-L2,2,0.8791469194312796
M1-L2,3,0.933649289099526
M1-L2,4,0.9786729857819905
M1-L2,5,0.990521327014218
M1-EN,1,0.6895734597156398
M1-EN,2,0.8791469194312796
M1-EN,3,0.9360189573459715
M1-EN,4,0.976303317535545
M1-EN,5,0.990521327014218
M2-CondGLM(logit),1,0.6895734597156398
M2-CondGLM(logit),2,0.8791469194312796
M2-CondGLM(logit),3,0.933649289099526
M2-CondGLM(logit),4,0.9786729857819905
M2-CondGLM(logit),5,0.990521327014218
M2-Binomial(probit),1,0.6682464454976303
M2-Binomial(probit),2,0.8649289099526066
M2-Binomial(probit),3,0.943127962085308
M2-Binomial(probit),4,0.981042654028436
M2-Binomial(probit),5,0.990521327014218
M2-Binomial(cloglog),1,0.556872037914692
M2-Binomial(cloglog),2,0.6753554502369669
M2-Binomial(cloglog),3,0.7393364928909952
M2-Binomial(cloglog),4,0.7796208530805687
M2-Binomial(cloglog),5,0.7867298578199052
M2-Binomial(cauchit),1,0.523696682464455
M2-Binomial(cauchit),2,0.6848341232227488
M2-Binomial(cauchit),3,0.7369668246445498
M2-Binomial(cauchit),4,0.7677725118483413
M2-Binomial(cauchit),5,0.7748815165876777
M2-Binomial(loglog),1,0.5758293838862559
M2-Binomial(loglog),2,0.7606635071090048
M2-Binomial(loglog),3,0.8578199052132701
M2-Binomial(loglog),4,0.9289099526066351
M2-Binomial(loglog),5,0.9597156398104265
M3-GAM,1,0.6729857819905213
M3-GAM,2,0.8744075829383886
M3-GAM,3,0.9502369668246445
M3-GAM,4,0.9715639810426541
M3-GAM,5,0.990521327014218
M4-RF(1200|leaf=2|mtry=sqrt),1,0.6753554502369669
M4-RF(1200|leaf=2|mtry=sqrt),2,0.8696682464454977
M4-RF(1200|leaf=2|mtry=sqrt),3,0.9502369668246445
M4-RF(1200|leaf=2|mtry=sqrt),4,0.9739336492890995
M4-RF(1200|leaf=2|mtry=sqrt),5,0.9786729857819905
