feature,coef
num__Run_Share,1.9431361073971898
num__Team_Won,1.935205017128635
num__Runs_Conceded,-1.3024295683973899
num__All_Rounder,1.1730486737404036
num__Wicket_Impact,1.0384812446723355
num__Batter,0.992275727032657
num__Bowler,0.8198167115284433
num__Overs_Bowled,0.7473220134484629
num__Strike_Rate,-0.6716089403687537
num__Runs_Scored,0.5807448836523437
num__Balls_Faced,-0.5353639197395855
num__Sixes_Hit,0.4762336103182418
num__Dot_Balls,-0.43133874806456923
num__Legal_Deliveries,0.4284699751973264
num__Fours_Hit,0.3427255588130285
num__Batted_Inns2,-0.2649191011087981
num__NoBalls_Thrown,-0.2120748470797213
num__Team_Total_Extras,0.15316805889836185
num__Team_Batted_First,-0.15030819395614575
num__Bowled_Catch,-0.1342449308883543
num__NonStriker_Runs,-0.09251054753244725
num__Wkts_Bowled,0.08168764663983469
num__Catches_Fielder,0.06388680451016836
num__Economy_Rate,0.05793165462031636
num__Total_Returns,0.05087016195505677
num__Batted_Inns1,-0.04311573201589533
num__Team_Home,-0.030401155497479907
num__LegByes_Thrown,-0.030107713852282954
num__Stumpings,-0.02154317389519479
num__RunOuts,0.012608397529899892
num__Team_Total_Runs,-0.009724559688695174
num__Wickets_Total,0.0014648596028862529
