feature,coef
num__Run_Share,2.1384589592537186
num__Team_Won,1.9571058271163826
num__Runs_Conceded,-1.2591373906243801
num__All_Rounder,1.141664726325982
num__Overs_Bowled,1.1252915263105272
num__Wicket_Impact,1.0419165671173864
num__Batter,0.903618393781097
num__Bowler,0.8383688688928506
num__Strike_Rate,-0.6551413392406548
num__Balls_Faced,-0.48855780959878536
num__Sixes_Hit,0.4798363278500567
num__Dot_Balls,-0.4405498476112893
num__Runs_Scored,0.35010714794598063
num__Fours_Hit,0.34255033107419103
num__Batted_Inns2,-0.22917030636878966
num__NoBalls_Thrown,-0.20064725692550517
num__Team_Total_Extras,0.15404378277905925
num__Team_Batted_First,-0.13992806084332737
num__Bowled_Catch,-0.13304536549200888
num__NonStriker_Runs,-0.09117093220036991
num__Wkts_Bowled,0.08055303532021074
num__Catches_Fielder,0.06245128592768508
num__Total_Returns,0.04438842227761952
num__Team_Home,-0.02939937665482206
num__LegByes_Thrown,-0.027364792063108902
num__Stumpings,-0.009815357468100347
num__RunOuts,0.00824101837717032
num__Team_Total_Runs,0.0
num__Batted_Inns1,0.0
num__Wickets_Total,0.0
num__Legal_Deliveries,0.0
num__Economy_Rate,0.0
