feature,coef
num__Team_Won,10.4867354958081
num__Run_Share,10.05660540081436
num__Overs_Bowled,9.409076517618349
num__Legal_Deliveries,-7.377466506133325
num__All_Rounder,5.808960565777619
num__Batter,5.243149526428399
num__Batted_Inns2,-4.480159826318556
num__Batted_Inns1,-3.740997061686829
num__Wicket_Impact,3.414507857573148
num__Runs_Scored,-3.197037772664198
num__Runs_Conceded,-2.9577041191078015
num__Bowler,2.946458231719806
num__Sixes_Hit,1.3550281114409417
num__Balls_Faced,-1.2774396803975907
num__Team_Batted_First,-0.9176840717504469
num__Economy_Rate,0.905325880096699
num__Fours_Hit,0.6113312866299627
num__Catches_Fielder,0.5035399874692105
num__Team_Total_Extras,0.4576808743707596
num__Bowled_Catch,-0.4406452077377517
num__NoBalls_Thrown,-0.426146076517277
num__Dot_Balls,-0.40954195325654913
num__Strike_Rate,-0.3749336172041476
num__Total_Returns,0.26742080244892374
num__Team_Home,-0.2537247533629995
num__RunOuts,-0.21208742095480976
num__Stumpings,-0.20788049226091973
num__NonStriker_Runs,0.20780745750059268
num__Team_Total_Runs,-0.15055570573586424
num__LegByes_Thrown,-0.13958279578678157
num__Wickets_Total,0.13352006872202032
num__Wkts_Bowled,-0.09473482652817791
