feature,coef
num__Runs_Scored,1203405791759419.8
num__Batter,1107428920435565.1
num__Batted_Inns2,-894410241081130.0
num__All_Rounder,780023195828867.5
num__Runs_Conceded,-617748252383848.1
num__Wicket_Impact,608167936567198.4
num__Team_Won,582844965551861.8
num__Batted_Inns1,-544481951591299.7
num__Team_Batted_First,-492160280290202.44
num__Legal_Deliveries,429373620910553.25
num__Economy_Rate,399254207778800.9
num__Sixes_Hit,286920964600593.0
num__Run_Share,-267033193844220.3
num__Strike_Rate,-252791632026044.94
num__Fours_Hit,233601083614831.9
num__Overs_Bowled,214140710434236.38
num__Wickets_Total,-181021395171584.53
num__Dot_Balls,-174643604575843.47
num__NonStriker_Runs,-117215230269884.1
num__Stumpings,-116233979356188.78
num__Bowled_Catch,-71799381225216.1
num__Wkts_Bowled,71300731150599.23
num__Total_Returns,59347221207540.34
num__Team_Total_Runs,42037163466994.64
num__NoBalls_Thrown,31857053154321.97
num__Team_Home,31464448140286.63
num__Bowler,-22496056891319.406
num__LegByes_Thrown,-16756647189558.047
num__Balls_Faced,-10661282046538.375
num__Team_Total_Extras,7219548092989.341
num__Catches_Fielder,-6644061104131.512
num__RunOuts,6444050098446.859
