feature,coef
num__Overs_Bowled,1.2077741943099045
num__Team_Won,1.035571086411264
num__Runs_Conceded,-0.9831688161226322
num__Run_Share,0.9245353263153137
num__Batter,0.8981787504346634
num__All_Rounder,0.7886730449078773
num__Runs_Scored,0.6525554115439702
num__Balls_Faced,-0.6281422342976609
num__Strike_Rate,-0.5365422195470568
num__Wicket_Impact,0.41471652651346036
num__Legal_Deliveries,-0.337798036566987
num__Bowler,0.31988609195762885
num__Economy_Rate,0.28360692546638366
num__Sixes_Hit,0.22659230887897547
num__Batted_Inns2,-0.2182648210859538
num__Dot_Balls,-0.19838657406806312
num__Team_Total_Runs,-0.14573946229169468
num__Fours_Hit,0.14497470186274203
num__Batted_Inns1,-0.14086902480028468
num__Team_Total_Extras,0.07415237282566751
num__NoBalls_Thrown,-0.07068946430868982
num__Bowled_Catch,-0.05722593420123376
num__Wickets_Total,0.05366650357382551
num__Catches_Fielder,0.043906671797581245
num__Total_Returns,0.0425310216086994
num__RunOuts,0.04200476560172219
num__NonStriker_Runs,-0.041964413301206066
num__Team_Batted_First,-0.038407708742445444
num__Wkts_Bowled,0.037629209439436886
num__LegByes_Thrown,-0.02479104279048311
num__Stumpings,-0.019799090377739526
num__Team_Home,-0.01908774807348132
