feature,coef
num__Overs_Bowled,1.2182005180501603
num__Batter,1.0734750915544757
num__Team_Won,1.0692556591280935
num__Runs_Conceded,-1.0373438214573183
num__Run_Share,0.9905681024305604
num__All_Rounder,0.8787634065744928
num__Wicket_Impact,0.5378294729058952
num__Runs_Scored,0.5235776141619751
num__Strike_Rate,-0.4648593138613272
num__Balls_Faced,-0.44561572917363373
num__Batted_Inns2,-0.37848468662667684
num__Bowler,0.3607596514780057
num__Economy_Rate,0.33112931158541753
num__Batted_Inns1,-0.2815133026075625
num__Legal_Deliveries,-0.24997012003323338
num__Sixes_Hit,0.24758626080966073
num__Dot_Balls,-0.22047917724531074
num__Fours_Hit,0.16519195783205282
num__NoBalls_Thrown,-0.09034067066260726
num__Team_Total_Extras,0.0861437296971227
num__Bowled_Catch,-0.06759476663303528
num__Team_Batted_First,-0.06006889872917559
num__Wkts_Bowled,0.045898355825732096
num__Catches_Fielder,0.04155829019320803
num__NonStriker_Runs,-0.03969256091776781
num__Total_Returns,0.030279495250718075
num__Team_Total_Runs,-0.028944805627221137
num__RunOuts,0.02476722369175656
num__Stumpings,-0.022875405552949205
num__LegByes_Thrown,-0.02029579191277807
num__Team_Home,-0.01676832067123412
num__Wickets_Total,-0.005318282207204591
