feature,importance
num__Runs_Scored,0.12352082151038628
num__Run_Share,0.10255762354318912
num__Wicket_Impact,0.07342935663099046
num__Team_Won,0.0732106286539233
num__Wickets_Total,0.07072135355746219
num__Balls_Faced,0.06763380948762131
num__Fours_Hit,0.06287484575439738
num__Team_Total_Runs,0.04737574812767214
num__Sixes_Hit,0.045441767942610393
num__NonStriker_Runs,0.04013546977612477
num__Wkts_Bowled,0.03294238817824396
num__Bowled_Catch,0.029860093690805
num__Strike_Rate,0.025685451134583547
num__Dot_Balls,0.024930620436992273
num__Runs_Conceded,0.020779284279594953
num__Economy_Rate,0.020289991727255288
num__Overs_Bowled,0.019629148435591603
num__Legal_Deliveries,0.019213313619119293
num__Batted_Inns2,0.011879235374019182
num__Catches_Fielder,0.01025393174141551
num__Batter,0.010179590850666699
num__Total_Returns,0.009725016109965191
num__Bowler,0.009601378814963507
num__Batted_Inns1,0.009365585521171447
num__All_Rounder,0.008159903610576412
num__LegByes_Thrown,0.007730368065420962
num__RunOuts,0.0050459420508799134
num__NoBalls_Thrown,0.004695199458824625
num__Team_Total_Extras,0.0037132804362050567
num__Team_Home,0.003671131796008817
num__Team_Batted_First,0.00342963258687258
num__Stumpings,0.002318087096446978
