feature,perm_importance_mean,perm_importance_std
num__Runs_Scored,0.029116997792494503,0.0007132668618721057
num__Run_Share,0.02812362030905081,0.0006278791458423039
num__Team_Won,0.02115894039735102,0.0010366465659543919
num__Wickets_Total,0.0125386313465784,0.00040464244547071005
num__Wicket_Impact,0.01239514348785874,0.00035612065794485075
num__Sixes_Hit,0.008200883002207527,0.0004578911371455058
num__Team_Total_Runs,0.007847682119205324,0.0005680842928237269
num__Strike_Rate,0.005717439293598259,0.00041826258987850414
num__Wkts_Bowled,0.0053090507726269555,0.0002768197837524031
num__Fours_Hit,0.003620309050772652,0.00034833849532139627
num__Overs_Bowled,0.003245033112582829,0.000252660555016764
num__Economy_Rate,0.0029690949227373364,0.0005439832905232556
num__Legal_Deliveries,0.002781456953642414,0.00032668098425935326
num__Batter,0.0026710816777042235,0.0004437031179302974
num__Bowled_Catch,0.0024724061810154963,0.00026212675688824197
num__Batted_Inns1,0.002174392935982361,0.00024705330337307276
num__Runs_Conceded,0.0017991169977925158,0.0003200883002207513
num__Batted_Inns2,0.0017880794701987002,0.000169561716288505
num__Catches_Fielder,0.0008940397350993612,0.00013473019443415598
num__NonStriker_Runs,0.0008609271523178919,0.0002826986418292495
num__Total_Returns,0.0006401766004415332,0.00015452538631348337
num__Balls_Faced,0.0005849889624724214,0.000323871981260952
num__All_Rounder,0.0005187637969095271,0.00020971302428256334
num__Bowler,0.00045253863134658845,0.00014348785871964436
num__LegByes_Thrown,0.00043046357615895704,9.168459009845041e-05
num__NoBalls_Thrown,0.0003642384105960406,0.00012141280353198996
num__RunOuts,0.00033112582781459344,0.0001103752759381793
num__Team_Total_Extras,0.0003090507726269509,9.622293473596866e-05
num__Dot_Balls,0.0002980132450331463,0.00027505377029528707
num__Team_Home,0.0002980132450331352,8.620584631240991e-05
num__Team_Batted_First,0.00016556291390733556,7.404198600992967e-05
num__Stumpings,0.0,0.0
