model,K,topk
M1-L1,1,0.6587677725118484
M1-L1,2,0.8578199052132701
M1-L1,3,0.933649289099526
M1-L1,4,0.95260663507109
M1-L1,5,0.976303317535545
M1-L2,1,0.6563981042654028
M1-L2,2,0.8578199052132701
M1-L2,3,0.9360189573459715
M1-L2,4,0.9549763033175356
M1-L2,5,0.9739336492890995
M1-EN,1,0.6540284360189573
M1-EN,2,0.8601895734597157
M1-EN,3,0.9360189573459715
M1-EN,4,0.95260663507109
M1-EN,5,0.9739336492890995
M2-CondGLM(logit),1,0.6563981042654028
M2-CondGLM(logit),2,0.8578199052132701
M2-CondGLM(logit),3,0.9360189573459715
M2-CondGLM(logit),4,0.9549763033175356
M2-CondGLM(logit),5,0.9739336492890995
M2-Binomial(probit),1,0.6516587677725119
M2-Binomial(probit),2,0.8672985781990521
M2-Binomial(probit),3,0.9407582938388626
M2-Binomial(probit),4,0.957345971563981
M2-Binomial(probit),5,0.9715639810426541
M2-Binomial(cloglog),1,0.4146919431279621
M2-Binomial(cloglog),2,0.4976303317535545
M2-Binomial(cloglog),3,0.5355450236966824
M2-Binomial(cloglog),4,0.5639810426540285
M2-Binomial(cloglog),5,0.5758293838862559
M2-Binomial(cauchit),1,0.6208530805687204
M2-Binomial(cauchit),2,0.8293838862559242
M2-Binomial(cauchit),3,0.8981042654028436
M2-Binomial(cauchit),4,0.9289099526066351
M2-Binomial(cauchit),5,0.9549763033175356
M2-Binomial(loglog),1,0.6516587677725119
M2-Binomial(loglog),2,0.8696682464454977
M2-Binomial(loglog),3,0.9360189573459715
M2-Binomial(loglog),4,0.9549763033175356
M2-Binomial(loglog),5,0.976303317535545
M3-GAM,1,0.6658767772511849
M3-GAM,2,0.8412322274881516
M3-GAM,3,0.9123222748815166
M3-GAM,4,0.9597156398104265
M3-GAM,5,0.9786729857819905
M4-RF(1200|leaf=2|mtry=sqrt),1,0.6563981042654028
M4-RF(1200|leaf=2|mtry=sqrt),2,0.8530805687203792
M4-RF(1200|leaf=2|mtry=sqrt),3,0.9218009478672986
M4-RF(1200|leaf=2|mtry=sqrt),4,0.95260663507109
M4-RF(1200|leaf=2|mtry=sqrt),5,0.9786729857819905
