scenario,model_tag,model_kind,link,feature,coef
raw,M1-EN,M1,,num__Team_Won,1.589547861130161
raw,M1-EN,M1,,num__Batter,-0.4375772104959027
raw,M1-EN,M1,,num__Wickets_Total,0.2961741309233018
raw,M1-EN,M1,,num__Wicket_Impact,0.2157586578886097
raw,M1-EN,M1,,num__LegByes_Thrown,0.2094079605735498
raw,M1-EN,M1,,num__Runs_Scored,0.2066677448610337
raw,M1-EN,M1,,num__Batted_Inns2,-0.203168048957408
raw,M1-EN,M1,,num__Wkts_Bowled,0.199319746022484
raw,M1-EN,M1,,num__Team_Home,-0.1948153743213401
raw,M1-EN,M1,,num__Bowler,-0.1567065236265845
raw,M1-EN,M1,,num__Catches_Fielder,0.1265989675800398
raw,M1-EN,M1,,num__Batted_Inns1,-0.1252897774147285
raw,M1-EN,M1,,num__Balls_Faced,-0.1056282370928412
raw,M1-EN,M1,,num__Team_Batted_First,0.098725766565632
raw,M1-EN,M1,,num__Bowled_Catch,0.0838325114823064
raw,M1-EN,M1,,num__All_Rounder,0.0837261746769299
raw,M1-EN,M1,,num__NoBalls_Thrown,-0.0804762800160028
raw,M1-EN,M1,,num__Overs_Bowled,0.0623570981773073
raw,M1-EN,M1,,num__Economy_Rate,-0.0519444869216015
raw,M1-EN,M1,,num__Stumpings,0.0506368566780604
raw,M1-EN,M1,,num__RunOuts,0.0464811719827438
raw,M1-EN,M1,,num__Runs_Conceded,-0.0423380969764373
raw,M1-EN,M1,,num__Team_Total_Runs,-0.0412218021534869
raw,M1-EN,M1,,num__Run_Share,-0.0410995433953278
raw,M1-EN,M1,,num__Sixes_Hit,0.0309822460645043
raw,M1-EN,M1,,num__Legal_Deliveries,0.0301202524456349
raw,M1-EN,M1,,num__Team_Total_Extras,0.0152568567888956
raw,M1-EN,M1,,num__Fours_Hit,0.0147255231193426
raw,M1-EN,M1,,num__Strike_Rate,-0.006204812718781
raw,M1-EN,M1,,num__Dot_Balls,0.0032623517987256
raw,M1-EN,M1,,num__Total_Returns,-0.0022740398194717
raw,M1-EN,M1,,num__NonStriker_Runs,0.0011160002474471
raw,M1-L1,M1,,num__Team_Won,1.5902507142012203
raw,M1-L1,M1,,num__Batter,-0.4309595967723132
raw,M1-L1,M1,,num__Wickets_Total,0.2922439430766088
raw,M1-L1,M1,,num__Wicket_Impact,0.2183692265765074
raw,M1-L1,M1,,num__Runs_Scored,0.2075470538361941
raw,M1-L1,M1,,num__LegByes_Thrown,0.2056677359286387
raw,M1-L1,M1,,num__Batted_Inns2,-0.1946928099031954
raw,M1-L1,M1,,num__Wkts_Bowled,0.1909063895807662
raw,M1-L1,M1,,num__Team_Home,-0.1900572633979905
raw,M1-L1,M1,,num__Bowler,-0.147699656379485
raw,M1-L1,M1,,num__Catches_Fielder,0.1211484291001636
raw,M1-L1,M1,,num__Batted_Inns1,-0.110473834302794
raw,M1-L1,M1,,num__Balls_Faced,-0.1058628275188477
raw,M1-L1,M1,,num__Team_Batted_First,0.0905073311684705
raw,M1-L1,M1,,num__Bowled_Catch,0.0751226134780836
raw,M1-L1,M1,,num__All_Rounder,0.0745443538103851
raw,M1-L1,M1,,num__NoBalls_Thrown,-0.0693299125218955
raw,M1-L1,M1,,num__Overs_Bowled,0.0523377132624886
raw,M1-L1,M1,,num__Economy_Rate,-0.0498551375948271
raw,M1-L1,M1,,num__Runs_Conceded,-0.0427913318242529
raw,M1-L1,M1,,num__Run_Share,-0.0414062066013258
raw,M1-L1,M1,,num__Team_Total_Runs,-0.0412837212453744
raw,M1-L1,M1,,num__Stumpings,0.0396074585304159
raw,M1-L1,M1,,num__RunOuts,0.0360034504522382
raw,M1-L1,M1,,num__Legal_Deliveries,0.0324722626565763
raw,M1-L1,M1,,num__Sixes_Hit,0.024251166776307
raw,M1-L1,M1,,num__Team_Total_Extras,0.0149831075986079
raw,M1-L1,M1,,num__Fours_Hit,0.0108363372920867
raw,M1-L1,M1,,num__Strike_Rate,-0.0061445165168562
raw,M1-L1,M1,,num__Dot_Balls,0.0036705983273816
raw,M1-L1,M1,,num__Total_Returns,-0.0020004905429626
raw,M1-L1,M1,,num__NonStriker_Runs,0.0006926187053127
raw,M1-L2,M1,,num__Team_Won,3.7271428245602674
raw,M1-L2,M1,,num__Overs_Bowled,1.4777615443018497
raw,M1-L2,M1,,num__Batter,0.7512460628659532
raw,M1-L2,M1,,num__Wickets_Total,0.6417248122247037
raw,M1-L2,M1,,num__All_Rounder,-0.4362617365886351
raw,M1-L2,M1,,num__Wkts_Bowled,0.4289693864274627
raw,M1-L2,M1,,num__NoBalls_Thrown,-0.4219751096287479
raw,M1-L2,M1,,num__Batted_Inns2,0.2281882039046761
raw,M1-L2,M1,,num__Team_Batted_First,0.2201075162064618
raw,M1-L2,M1,,num__Bowled_Catch,0.2127554257982329
raw,M1-L2,M1,,num__Economy_Rate,0.2090771997618635
raw,M1-L2,M1,,num__RunOuts,0.1741920863052649
raw,M1-L2,M1,,num__Stumpings,0.1737064457535186
raw,M1-L2,M1,,num__LegByes_Thrown,0.1648088622707985
raw,M1-L2,M1,,num__Catches_Fielder,0.1634345514566172
raw,M1-L2,M1,,num__Runs_Scored,0.1609102483454552
raw,M1-L2,M1,,num__Runs_Conceded,-0.1521903735117463
raw,M1-L2,M1,,num__Balls_Faced,-0.1144837723230229
raw,M1-L2,M1,,num__Wicket_Impact,0.1051484638866555
raw,M1-L2,M1,,num__Batted_Inns1,0.0867961223702198
raw,M1-L2,M1,,num__Legal_Deliveries,-0.0694854656384723
raw,M1-L2,M1,,num__Run_Share,0.0629291587808524
raw,M1-L2,M1,,num__Fours_Hit,-0.0584596322676364
raw,M1-L2,M1,,num__Team_Home,-0.0446025763704448
raw,M1-L2,M1,,num__Team_Total_Extras,0.0404994408262839
raw,M1-L2,M1,,num__Sixes_Hit,-0.0331527164922222
raw,M1-L2,M1,,num__Bowler,-0.0288971320248177
raw,M1-L2,M1,,num__Dot_Balls,0.0160356342757653
raw,M1-L2,M1,,num__Total_Returns,0.0150078145781357
raw,M1-L2,M1,,num__Team_Total_Runs,-0.0137857412677611
raw,M1-L2,M1,,num__Strike_Rate,-0.0048992751617636
raw,M1-L2,M1,,num__NonStriker_Runs,-0.0002218853556366
raw,M2-Binomialcauchit,M2,,num__Bowler,539678947.7047514
raw,M2-Binomialcauchit,M2,,num__Batted_Inns2,269839472.4167631
raw,M2-Binomialcauchit,M2,,num__Batter,269839472.2325133
raw,M2-Binomialcauchit,M2,,num__All_Rounder,269839471.5921607
raw,M2-Binomialcauchit,M2,,num__Batted_Inns1,269839471.40790004
raw,M2-Binomialcauchit,M2,,num__Overs_Bowled,25.29734388999566
raw,M2-Binomialcauchit,M2,,num__Team_Won,16.504477875655073
raw,M2-Binomialcauchit,M2,,num__Legal_Deliveries,-3.861697377258035
raw,M2-Binomialcauchit,M2,,num__NoBalls_Thrown,-3.392498460720452
raw,M2-Binomialcauchit,M2,,num__Wickets_Total,2.3851888839909465
raw,M2-Binomialcauchit,M2,,num__Wkts_Bowled,1.5315019310456757
raw,M2-Binomialcauchit,M2,,num__Stumpings,1.1820845816720296
raw,M2-Binomialcauchit,M2,,num__Catches_Fielder,0.910901946919945
raw,M2-Binomialcauchit,M2,,num__Bowled_Catch,0.8536841147244781
